Country,Incomes should be made more equal,2,3,4,5,6,7,8,9,We need larger income differences as incentives,Not know
Argentina,26.1,3.9,6.5,3.5,12.1,5.9,7.1,8.8,3.7,19.6,2.6
Australia,10.2,3.8,7.3,7.4,17.3,10.8,14.9,14,4.4,7.6,0
Brazil,15.2,6.4,7.7,7.5,12,6.3,8.6,12.7,7.5,15.5,0.3
Bulgaria,8.8,7.6,7.4,10.6,13.3,9.1,12.4,11.4,7,11,1.5
Chile,23,6.2,10.2,8,12.8,8.7,6.8,8.1,7.2,7.1,1.5
China,11.2,8.4,4.9,2.8,7.5,7.9,7.2,12.8,10.8,12.5,13.9
Taiwan,4.3,3.5,4.4,3.3,13,11.1,17.2,21.9,7.6,13.4,0.2
Colombia,23.4,6.3,6.3,5.6,10.5,3.7,4.9,9.9,7.4,21.6,0
Georgia,5.5,4.3,4.2,4.9,9.5,6.5,10.9,16.1,8.3,22.3,7.3
India,33,0,6.4,0,12.1,0,8.5,0,0,22,17.8
Japan,5,1.5,4.1,4,13.5,25.3,16.9,15.3,2.6,5.8,0
South Korea,4.4,4,10.3,4.9,7.9,8.1,19.2,19.3,11.7,10.1,0
Mexico,19.6,3.8,3.1,2.4,9.9,7.2,6.7,11.9,9.4,22.3,2.6
New Zealand,11.1,5.1,8.7,7.8,13.2,10,15.4,13.7,3.2,6.1,2.5
Peru,7.6,1.9,2.5,3.4,5.5,5.1,11.2,17,10.1,34.7,0
Poland,5.4,2.9,4.5,5.4,9.2,6.6,12.9,22,8.7,16.3,6.1
Romania,16.9,11.2,13.7,8.8,12.1,4.6,5.2,9.7,6.4,7.1,3.7
Russia,15.3,3.9,5.6,4.9,9,5.7,5.1,9.6,7.1,30.7,2.8
Serbia,7.5,4.3,7,7.1,13,12.1,10.8,15,10.4,10.2,1.6
Slovenia,16.3,8.8,12.2,9.6,14.9,7.3,8.9,10,3.1,5.6,2
South Africa,16.2,8.8,5.8,6.1,10,9.4,8.1,10.6,8.7,13.9,2.4
Spain,8.5,5.6,10,7.9,14.4,9.5,14.6,14.8,5.1,7.8,1.5
Sweden,6.1,3,7.9,8.3,11.1,11.3,17,21.2,6.9,6.2,0
Turkey,17.5,10.1,10.5,8.6,9.2,7.5,8.4,9.2,6.5,10.5,1.9
Ukraine,3.9,3.8,4.1,4.8,9.4,10.4,14.6,14.5,11.1,19.8,3.1
United States,5.8,1.8,4.1,6.7,17.7,17.5,18.5,12,4,8.2,0
Uruguay,12.8,4.8,7.9,5.9,18.6,11.7,10.1,10.2,4.3,8.2,0
