Country,None,1 child,2 children,3 children,4 children,5 children,6 children,7 children,8 + children
Argentina,29.9,17.5,22.5,15.8,6.9,3.5,1.4,0.7,1.2
Australia,33.3,10.9,28.3,16.6,6.9,2.1,0.7,0.6,0.1
Brazil,24.6,19.9,23.9,15,7.8,4.4,1.7,1,1.6
Chile,22,19.5,26.4,17.9,9.4,2.6,0.9,0.8,0.5
China,14.7,43.7,29.9,7.9,2.8,0.6,0.3,0.1,0
Taiwan,33.1,8.7,29.6,18.2,6.7,2.5,0.5,0.1,0.2
Colombia,27.3,18.1,21.6,16.4,7.6,3.9,2.3,1.1,1.5
Georgia,25,17.8,37.3,15.5,3,0.9,0.3,0.2,0
India,7.9,12.6,29.5,22.4,11.1,5.2,2.6,1.3,0.5
Japan,25.3,13.7,41.1,16.3,2,0.3,0.1,0,0
South Korea,29.9,13.5,33.2,13.4,4.5,1.9,0.8,0.2,0
Mexico,24.5,15.1,20.5,17.6,9.6,5.1,2.9,1.5,3.2
New Zealand,22.6,9.8,27.2,21,9.8,4.6,2,1.2,0.1
Pakistan,28.7,11.3,17.9,14,12.5,8.7,2.8,2.3,1.6
Peru,30.7,15.3,19.7,14.7,7.5,4.9,2.6,1.8,2.4
Philippines,16.6,12.8,19.4,18.5,12,8.6,4,3,5
Poland,26.9,19.3,30,15.1,4.8,1.8,1.2,0.2,0.2
Romania,27.3,25.4,29.9,9.3,4.6,1.7,0.4,0.3,0.4
Russia,25.5,32.3,31.9,6.2,1.1,0.4,0.3,0.2,0
Singapore,34.3,12.9,25.5,16.5,6.1,2.6,1.4,0.5,0.2
Slovenia,25.4,18.4,40.3,12.7,2,0.5,0.1,0.1,0.3
South Africa,35,19.9,23.3,12.7,5.3,2,0.8,0.5,0.4
Spain,35.8,16.6,28.1,12.6,4,1.6,0.4,0.3,0.4
Sweden,33.7,15.9,31.3,13.4,4.3,0.7,0.5,0.2,0.1
Turkey,32,14.3,23.6,14.5,7.5,3.3,2.8,0.6,1.4
Ukraine,23.3,32.8,35,6.7,1.2,0.9,0,0,0.1
United States,32.2,15.3,26.5,13.2,6.2,2.9,1.5,0.4,1
Uruguay,24.2,18,25,16.9,7.1,3.1,1.5,1.3,0
