Country,Married,Living together as married,Divorced,Separated,Widowed,Single
Argentina,53.1,7.8,2.3,3.9,9.1,23.6
Australia,50.6,6.7,5.7,3.7,6.6,26.4
Brazil,47.9,9.3,3.5,3.5,3.2,32.6
Bulgaria,69.4,2.4,2.9,0.6,8.7,16
Chile,55.8,5.3,0.4,5.7,7,25.9
China,80.5,0.7,0.8,0.3,2.6,15
Taiwan,76.5,0.4,1.7,0.5,3.2,17.7
Colombia,42,18.3,0.8,5.4,2.2,31.2
Georgia,60.2,1.4,2.8,0.7,8.7,26.2
India,77.4,0,0.8,0.5,2.8,18.5
Japan,74.6,1.6,1.9,0.5,2.8,18.7
South Korea,66.4,1.3,1.3,0.1,2.6,28.1
Mexico,47.4,9.7,3.5,3.1,4.3,31.3
New Zealand,57,9.7,5,3.4,7,15.8
Pakistan,75.5,0,0,0.3,1.1,23.1
Peru,44.3,15.2,1.1,3.7,2.9,32.6
Philippines,66.7,2.3,0,0.5,3.6,26.9
Poland,61.1,1.5,2.9,1.7,14.7,18
Romania,68.4,2.6,2.3,0.7,7.7,18.3
Russia,61.4,2.2,8.4,3,15.4,9.6
Slovenia,60.3,8.2,2.6,2,6.8,20
South Africa,47.3,9.4,2.1,2,6.3,32.7
Spain,61.8,2.7,0.7,1.6,7.3,25.9
Sweden,52.7,17,5.5,0.7,3.7,20.4
Turkey,76.5,0.3,0.5,0.3,2.8,18.3
Ukraine,70.3,2.3,5.2,0.9,10.3,10.4
United States,60,4,7.9,1.9,8,18
Uruguay,52.8,6,7.7,4.5,11.8,17.3
Serbia,63.3,2.9,4.8,0.9,9,19.1
