Country,None, Primary incomplete,Primary,Secondary technical/vocational incomplete,Secondary technical/vocational,Secondary university preparatory incomplete,Secondary university preparatory,Some university education,University degree
Argentina,1.7,9.1,26.9,21.5,18.7,3.9,8.8,4.9,4.6
Chile,1.1,13.7,7.5,14.4,30,5.5,10.2,6.4,11.1
China,0,14,27.8,0,38.2,0,15.7,3.9,0.4
India,30.1,9.7,12.2,0,0,12.9,11.4,9.7,13.6
Japan,0,0,9.5,1,11.2,3.3,48.3,0.7,22.8
South Korea,0.8,0,3.8,0,10,0,46.8,10.1,28.5
Mexico,10,21.5,18.9,5.2,17,7.6,9.5,4.1,5.9
Pakistan,30.8,7.7,10,5.8,8.9,9.2,13.2,8.6,5.9
Peru,0.7,4.5,7.5,8.5,15.8,9.8,21.5,12.8,18.7
Philippines,1.1,13.8,15.5,2.1,5.6,14.9,19.4,12.4,15.1
Singapore,4.3,7.4,17,5.8,31.4,11.4,10,0.2,12.4
South Africa,3.1,9.3,8.1,0.5,9.8,35.5,30,0,3.6
Spain,4.4,16.5,34.2,3.6,10.6,3.3,11.4,3.7,12.2
Sweden,0.4,0,17.1,5.9,19.2,15.7,12.3,29.1,0.3
Turkey,11.5,5.5,36.6,4.9,7.3,2.6,17.3,0.8,7.8
United States,0.3,1.8,12.3,5.2,13.3,9.6,6.7,19.8,30.6
Serbia,0,0,12.5,19,3,0,25.4,16.9,22.6
