Country,None,1 child,2 children,3 children,4 children,5 children,6 children,7 children,8 + children
Argentina,27.3,14.1,22.4,15.6,8.7,3.9,3.1,1.3,3.6
Chile,21,16.6,24.5,18.8,8.9,4.8,2.9,1.1,1.4
China,11.3,33.2,33.7,13.1,4.8,1.5,0.8,0.4,1.2
India,8.2,10.1,23.5,19.6,15.4,7.6,4.2,1.7,9.6
Japan,22.4,13.6,41.6,17.4,2.1,0.1,0.1,0.1,2.7
South Korea,31.6,11.4,37.1,14.2,3.8,1.1,0.4,0.2,0
Mexico,24.2,11.2,15.4,15.9,9.8,6.4,4.6,3.3,9.2
Pakistan,39,13.2,13.9,16,9.4,3.8,3.2,0.8,0.9
Peru,32.9,16.4,16.7,13.4,8.7,3.7,3.6,1.9,2.7
Philippines,22.8,11,16.1,13.4,12,9.4,5.9,3.5,6
Singapore,55.7,10.3,17.6,10.4,2.8,1.1,0.8,0.2,1.1
South Africa,30.3,18.9,24.6,11.4,6.5,3.8,1.5,1.5,1.6
Spain,35.9,14.1,24.8,13.3,6.3,2.5,0.6,0.6,1.7
Sweden,32.2,14.1,32.3,16.5,3,1.5,0,0,0.4
Turkey,26.6,11.5,21.3,13.8,9.1,5.7,3.7,2.1,4
United States,31.6,15,25.1,15,7.5,2.1,1.6,0.4,1.6
Serbia,24.6,21.9,41.6,7.6,1.8,1,0.2,0,1.4
